episode,level,reward,steps,epsilon
98,3,-188.06355885347162,131,0.6149486215357263
99,3,-184.73778130676507,87,0.6118738784280476
100,3,-187.02458158926945,139,0.6088145090359074
101,3,-184.5563282512639,86,0.6057704364907278
102,3,-185.11997026638352,95,0.6027415843082742
103,3,-185.49994164937917,91,0.5997278763867329
104,3,-188.82095681578124,142,0.5967292370047992
105,3,-188.5958501329321,116,0.5937455908197752
106,3,-184.58522273067777,95,0.5907768628656763
107,3,-189.99667100642017,122,0.5878229785513479
108,3,-186.92285662429114,95,0.5848838636585911
109,3,-185.53632825126388,91,0.5819594443402982
110,3,-185.6924887478561,76,0.5790496471185967
111,3,-185.0921954876484,109,0.5761543988830038
112,3,-184.57518130676507,82,0.5732736268885887
113,3,-187.30520047485578,99,0.5704072587541458
114,3,-186.72986759197082,94,0.567555222460375
115,3,-185.05782273067777,90,0.5647174463480732
116,3,-188.3620456255488,131,0.5618938591163328
117,3,-184.79082273067777,118,0.5590843898207511
118,3,-185.1674753924365,103,0.5562889678716474
119,3,-184.96358130676506,87,0.5535075230322891
120,3,-186.37922621181372,78,0.5507399854171277
121,3,-185.14258130676507,85,0.547986285490042
122,3,-186.01357026638354,98,0.5452463540625918
123,3,-185.55508800621493,102,0.5425201222922789
124,3,-187.65525335848278,109,0.5398075216808175
125,3,-185.67643455854633,107,0.5371084840724134
126,3,-185.32883455854633,101,0.5344229416520513
127,3,-187.21698130676506,130,0.531750826943791
128,3,-187.70143317104953,117,0.5290920728090721
129,3,-185.46754164937914,83,0.5264466124450268
130,3,-185.17918130676506,99,0.5238143793828016
131,3,-184.36207539243648,76,0.5211953074858876
132,3,-185.2785813067651,105,0.5185893309484582
133,3,-187.32173510394452,110,0.5159963842937159
134,3,-185.38614737406388,80,0.5134164023722473
135,3,-185.61798624100948,109,0.510849320360386
136,3,-192.72368271965803,114,0.5082950737585841
137,3,-184.57018130676505,75,0.5057535983897912
138,3,-184.09777026638355,88,0.5032248303978422
139,3,-184.98764952063314,77,0.500708706245853
140,3,-186.12939548764842,89,0.4982051627146237
141,3,-186.39712154382698,90,0.49571413690105054
142,3,-184.95258130676507,82,0.4932355662165453
143,3,-188.58040275545585,114,0.4907693883854626
144,3,-185.08792825126386,92,0.4883155414435353
145,3,-186.1480675919708,87,0.4858739637363176
146,3,-184.23177026638353,81,0.483444593917636
147,3,-185.52810374794475,78,0.4810273709480478
148,3,-185.99950374794474,97,0.47862223409330756
149,3,-184.09357026638352,73,0.47622912292284103
150,3,-185.47210374794474,92,0.4738479773082268
151,3,-184.48597026638353,80,0.47147873742168567
152,3,-184.6150753924365,79,0.46912134373457726
153,3,-184.84384952063314,75,0.46677573701590436
154,3,-184.37138130676507,73,0.46444185833082485
155,3,-185.04967539243648,87,0.46211964903917074
156,3,-186.2322675919708,88,0.4598090507939749
157,3,-184.81712825126385,93,0.457510005540005
158,3,-184.40538130676507,74,0.45522245551230495
159,3,-184.50163455854633,77,0.4529463432347434
160,3,-184.76852825126386,88,0.4506816115185697
161,3,-184.24778130676506,73,0.4484282034609769
162,3,-185.12684952063313,80,0.446186062443672
