episode,level,reward,steps,loss,epsilon
63,5,-26.5,119,0.8028184175491333,0.7328768546436799
64,5,-32.5,125,0.810877799987793,0.7292124703704616
65,5,-18.0,129,0.035488877445459366,0.7255664080186093
66,5,-8.5,121,0.013063964433968067,0.7219385759785162
67,5,22.5,165,1.6057806015014648,0.7183288830986236
68,5,301.5,411,1.5727169513702393,0.7147372386831305
69,5,-10.5,121,0.02174137718975544,0.7111635524897149
70,5,-28.0,131,2.3690810203552246,0.7076077347272662
71,5,-16.5,122,0.022893046960234642,0.7040696960536299
72,5,-18.0,123,0.8023271560668945,0.7005493475733617
73,5,-15.0,120,0.04354938864707947,0.697046600835495
74,5,-21.5,126,0.018370218575000763,0.6935613678313175
75,5,-16.0,135,0.03523992747068405,0.6900935609921609
76,5,-10.0,124,0.8366883993148804,0.6866430931872001
77,5,-19.5,125,0.8371567726135254,0.6832098777212641
78,5,-49.5,120,0.021414995193481445,0.6797938283326578
79,5,-25.0,119,1.5683915615081787,0.6763948591909945
80,5,-16.5,130,0.01960456371307373,0.6730128848950395
81,5,-17.0,133,1.1795687675476074,0.6696478204705644
82,5,-16.0,123,0.8496728539466858,0.6662995813682115
83,5,-19.0,117,0.8072234392166138,0.6629680834613705
84,5,-12.0,119,0.04142845794558525,0.6596532430440636
85,5,82.5,237,1.577056646347046,0.6563549768288433
86,5,-19.0,118,1.6015108823776245,0.653073201944699
87,5,-12.5,129,0.03423662483692169,0.6498078359349755
88,5,-13.5,118,0.04302708059549332,0.6465587967553006
89,5,119.5,284,0.034570664167404175,0.6433260027715241
90,5,-35.5,125,0.016529656946659088,0.6401093727576664
91,5,-30.0,123,0.7915436625480652,0.6369088258938781
92,5,-17.5,126,0.8022984862327576,0.6337242817644086
93,5,-21.0,117,2.379584312438965,0.6305556603555866
94,5,-13.0,124,0.8034607768058777,0.6274028820538087
95,5,-19.0,119,0.8039789199829102,0.6242658676435396
96,5,-17.5,129,0.7884615659713745,0.6211445383053219
97,5,-44.5,133,1.591990351676941,0.6180388156137953
98,5,-24.0,128,0.06724610924720764,0.6149486215357263
99,5,-15.5,120,0.7950069308280945,0.6118738784280476
100,5,-13.5,122,0.040005579590797424,0.6088145090359074
101,5,-10.5,121,0.8008258938789368,0.6057704364907278
102,5,-18.0,124,0.024457795545458794,0.6027415843082742
103,5,-12.5,121,1.5690548419952393,0.5997278763867329
104,5,-23.0,126,1.1799291372299194,0.5967292370047992
105,5,-24.5,123,0.8340632319450378,0.5937455908197752
106,5,-17.0,126,0.798778772354126,0.5907768628656763
107,5,-15.5,127,0.7686702013015747,0.5878229785513479
108,5,-15.0,127,0.04074224457144737,0.5848838636585911
109,5,-27.5,131,0.8136605024337769,0.5819594443402982
110,5,-13.5,130,0.8021167516708374,0.5790496471185967
111,5,-20.5,122,0.009455294348299503,0.5761543988830038
112,5,-15.5,124,0.022839466109871864,0.5732736268885887
113,5,-42.5,131,0.035931505262851715,0.5704072587541458
114,5,-12.5,122,1.5990548133850098,0.567555222460375
115,5,-12.0,123,0.8009201884269714,0.5647174463480732
116,5,-10.0,120,0.7815401554107666,0.5618938591163328
117,5,-21.5,120,0.05617101117968559,0.5590843898207511
118,5,-28.0,121,0.01780727691948414,0.5562889678716474
119,5,-30.0,122,0.7980769276618958,0.5535075230322891
120,5,-15.5,121,0.010184451006352901,0.5507399854171277
121,5,-69.5,119,0.8188952207565308,0.547986285490042
122,5,-18.0,117,0.04235241934657097,0.5452463540625918
123,5,-16.5,123,0.8081222772598267,0.5425201222922789
124,5,-16.0,120,0.8045470118522644,0.5398075216808175
125,5,-13.0,120,0.042291153222322464,0.5371084840724134
126,5,-30.5,130,0.019499344751238823,0.5344229416520513
127,5,-24.0,126,0.019864771515130997,0.531750826943791
128,5,-15.0,119,0.8312259316444397,0.5290920728090721
129,5,-20.5,135,2.4076361656188965,0.5264466124450268
130,5,-27.5,129,0.7996509671211243,0.5238143793828016
131,5,-20.0,126,0.03277992084622383,0.5211953074858876
132,5,-21.0,127,0.43981072306632996,0.5185893309484582
133,5,-23.0,121,0.8057366609573364,0.5159963842937159
134,5,-50.0,120,0.02864551730453968,0.5134164023722473
135,5,-17.5,123,1.5913180112838745,0.510849320360386
136,5,-24.0,124,0.8124842643737793,0.5082950737585841
137,5,-15.0,121,1.516853928565979,0.5057535983897912
138,5,-49.0,121,0.005395978689193726,0.5032248303978422
139,5,-21.5,131,1.5486879348754883,0.500708706245853
140,5,-13.5,124,0.7966177463531494,0.4982051627146237
141,5,-21.5,119,0.8025633096694946,0.49571413690105054
142,5,-24.0,127,0.7905588746070862,0.4932355662165453
143,5,-32.0,119,0.018841108307242393,0.4907693883854626
144,5,-18.5,119,1.585103988647461,0.4883155414435353
145,5,-22.0,128,0.044437989592552185,0.4858739637363176
146,5,-11.0,121,0.06674949079751968,0.483444593917636
147,5,-10.5,121,0.8176383376121521,0.4810273709480478
148,5,-12.5,124,0.01812872290611267,0.47862223409330756
149,5,-8.5,125,1.5858131647109985,0.47622912292284103
150,5,-12.0,124,2.368438959121704,0.4738479773082268
151,5,-23.0,130,0.8100371956825256,0.47147873742168567
152,5,-14.0,117,1.594931960105896,0.46912134373457726
153,5,-18.0,121,0.8093382716178894,0.46677573701590436
154,5,-11.5,123,0.02290804125368595,0.46444185833082485
155,5,-11.0,120,0.015773070976138115,0.46211964903917074
156,5,-18.5,124,2.390770673751831,0.4598090507939749
157,5,-15.0,119,0.7591341137886047,0.457510005540005
158,5,-22.5,122,2.2490549087524414,0.45522245551230495
159,5,-15.0,120,0.7940493226051331,0.4529463432347434
160,5,-12.5,118,0.794143557548523,0.4506816115185697
161,5,-17.0,123,0.014123475179076195,0.4484282034609769
162,5,-16.0,126,1.6195640563964844,0.446186062443672
163,5,-33.0,121,0.012317380867898464,0.4439551321314536
164,5,-15.5,125,0.8146403431892395,0.4417353564707963
165,5,-13.5,123,0.8053771257400513,0.43952667968844233
166,5,-16.0,119,1.5882940292358398,0.43732904629000013
167,5,-84.5,121,0.026766765862703323,0.4351424010585501
168,5,-38.0,127,0.7870641946792603,0.43296668905325736
169,5,-21.5,118,0.7992650866508484,0.43080185560799106
170,5,-17.0,125,0.025878360494971275,0.4286478463299511
171,5,-14.0,125,0.018016532063484192,0.42650460709830135
172,5,-19.0,119,0.8084825873374939,0.42437208406280985
173,5,-16.5,125,1.5932868719100952,0.4222502236424958
174,5,-13.5,122,1.5795432329177856,0.42013897252428334
175,5,-16.0,118,0.7934035658836365,0.4180382776616619
176,5,-18.0,121,0.8015699982643127,0.4159480862733536
177,5,-11.0,124,0.8049678802490234,0.41386834584198684
178,5,167.5,290,1.5730582475662231,0.4117990041127769
179,5,-16.5,121,0.028092090040445328,0.40974000909221303
180,5,-14.0,119,1.5943057537078857,0.40769130904675194
181,5,-22.0,118,2.1937150955200195,0.40565285250151817
182,5,-35.5,123,0.010284806601703167,0.4036245882390106
183,5,-14.0,120,1.5974905490875244,0.4016064652978155
184,5,-12.0,119,0.8245421051979065,0.3995984329713264
185,5,-16.0,123,1.6071666479110718,0.3976004408064698
186,5,-23.5,126,0.8052448630332947,0.39561243860243744
187,5,-16.5,117,0.7872133255004883,0.3936343764094253
188,5,-12.0,121,0.7700793743133545,0.39166620452737816
189,5,-13.5,119,0.7872015833854675,0.3897078735047413
190,5,-7.5,121,1.5743240118026733,0.3877593341372176
191,5,-49.0,122,0.7997735738754272,0.3858205374665315
192,5,-12.5,120,0.009866044856607914,0.38389143477919885
193,5,-11.0,118,0.8030434846878052,0.3819719776053028
194,5,-15.0,119,0.05876313894987106,0.3800621177172763
195,5,149.5,280,0.040041349828243256,0.37816180712868996
196,5,-13.5,121,1.5741463899612427,0.37627099809304654
197,5,-23.5,120,0.0227629654109478,0.3743896431025813
198,5,-18.5,121,0.0385010689496994,0.37251769488706843
199,5,-15.5,124,3.175668954849243,0.3706551064126331
200,5,-15.5,135,0.80806565284729,0.36880183088056995
201,5,-17.5,119,0.8708304762840271,0.3669578217261671
202,5,-18.0,121,0.7978456020355225,0.36512303261753626
203,5,-13.0,121,2.4560112953186035,0.3632974174544486
204,5,-45.0,119,0.7950702905654907,0.3614809303671764
205,5,-18.0,118,0.7951838970184326,0.3596735257153405
206,5,-9.0,124,0.8034830093383789,0.3578751580867638
207,5,-14.5,117,0.02951190434396267,0.35608578229633
208,5,-17.5,119,0.8171252608299255,0.3543053533848483
209,5,-17.5,123,1.5385093688964844,0.35253382661792404
210,5,-15.0,123,0.023021455854177475,0.3507711574848344
