episode,level,reward,steps,epsilon
1,1,-658.2098781498942,5000,1.0
2,1,-659.2183033691989,5000,0.995
3,1,-631.583542711095,5000,0.990025
4,1,-566.771587732863,5000,0.985074875
5,1,-553.3703983111349,5000,0.9801495006250001
6,1,167.20463736499647,3862,0.9752487531218751
7,1,101.65925483719548,4032,0.9703725093562657
8,1,-616.3905682615467,5000,0.9655206468094844
9,1,-542.8847901517547,5000,0.960693043575437
10,1,252.20646206018986,3080,0.9558895783575597
11,1,138.3528362571343,4094,0.9511101304657719
12,1,249.04886683505285,3445,0.946354579813443
13,1,180.2764947712226,3700,0.9416228069143757
14,1,346.5700475097689,2644,0.9369146928798039
15,1,301.35641863802687,2831,0.9322301194154049
16,1,399.2084247774157,2106,0.9275689688183278
17,1,447.69477559747946,1670,0.9229311239742362
18,1,315.109703233823,2908,0.918316468354365
19,1,390.56857301681407,2267,0.9137248860125932
20,1,365.5127925674167,2335,0.9091562615825302
21,1,457.004284199997,1598,0.9046104802746175
22,1,491.66045375651606,1375,0.9000874278732445
23,1,397.079500553672,2154,0.8955869907338783
24,1,505.8402044056218,1216,0.8911090557802088
25,1,536.4629592686425,1149,0.8866535105013078
26,1,454.46515593674013,1767,0.8822202429488013
27,1,464.8869609543034,1742,0.8778091417340573
28,1,519.1591422933398,1155,0.8734200960253871
29,1,505.9198697469648,1303,0.8690529955452602
30,1,489.7786190470338,1336,0.8647077305675338
31,1,530.7356872286837,1043,0.8603841919146962
32,1,499.5237088553222,1291,0.8560822709551227
33,1,505.10389440921307,1327,0.851801859600347
34,1,528.5086279778635,1168,0.8475428503023453
35,1,485.30894557771546,1406,0.8433051360508336
36,1,507.31478852428063,1255,0.8390886103705794
37,1,620.7411330991638,927,0.8348931673187264
38,1,530.251470991505,1108,0.8307187014821328
39,1,523.0048737853931,1145,0.8265651079747222
40,1,514.7924550606432,1176,0.8224322824348486
41,1,612.6772713342658,926,0.8183201210226743
42,1,594.4052298531559,935,0.8142285204175609
43,1,530.8812074964876,1117,0.810157377815473
44,1,644.8018655514046,895,0.8061065909263957
45,1,508.6569625377259,1155,0.8020760579717637
46,1,555.5677335244238,989,0.798065677681905
47,1,814.5728567394111,745,0.7940753492934954
48,1,899.472106203774,663,0.7901049725470279
49,1,885.353795032828,680,0.7861544476842928
50,1,721.6034377761797,823,0.7822236754458713
51,1,911.9511532238206,646,0.778312557068642
52,1,656.6889880122402,892,0.7744209942832988
53,1,899.5867598552218,665,0.7705488893118823
54,1,772.8880409487888,782,0.7666961448653229
55,1,936.459481144874,628,0.7628626641409962
56,1,815.3430820454757,744,0.7590483508202912
57,1,741.7491239656697,797,0.7552531090661897
58,1,953.7528516835102,609,0.7514768435208588
59,1,819.0173824256724,742,0.7477194593032545
60,1,991.8309593188651,576,0.7439808620067382
61,1,972.4734018713766,594,0.7402609576967045
62,1,884.1576783772348,678,0.736559652908221
63,1,975.7614966227563,586,0.7328768546436799
64,1,1056.308018960727,513,0.7292124703704616
65,1,869.9899992696863,690,0.7255664080186093
66,1,824.0080398195175,732,0.7219385759785162
67,1,866.4625037836154,693,0.7183288830986236
68,1,910.6790378070045,652,0.7147372386831305
69,1,1047.1213303982815,522,0.7111635524897149
70,1,928.8132181094581,631,0.7076077347272662
71,1,902.7602054288566,655,0.7040696960536299
72,1,889.8818302655698,662,0.7005493475733617
73,1,1065.0671001747237,498,0.697046600835495
74,1,1016.6318463864853,544,0.6935613678313175
75,1,910.4357633387743,643,0.6900935609921609
76,1,982.864976921101,584,0.6866430931872001
77,1,1006.5821817496578,561,0.6832098777212641
78,1,1081.6830605340535,485,0.6797938283326578
79,1,922.1135182778593,634,0.6763948591909945
80,1,963.7951388012308,595,0.6730128848950395
81,1,895.7757978290446,659,0.6696478204705644
82,1,1117.2634667430916,450,0.6662995813682115
83,1,1019.0072770267666,549,0.6629680834613705
84,1,1004.6814584510663,556,0.6596532430440636
85,1,1065.3087371344025,501,0.6563549768288433
86,1,1043.1082996440757,524,0.653073201944699
87,1,1058.991905538615,510,0.6498078359349755
88,1,1041.4911757041211,527,0.6465587967553006
89,1,1017.3158709950114,544,0.6433260027715241
90,1,1016.0799330692059,553,0.6401093727576664
91,1,1087.5671785995132,480,0.6369088258938781
92,1,999.0963597499004,565,0.6337242817644086
93,1,1003.5290163031525,558,0.6305556603555866
94,1,1013.5525119028226,548,0.6274028820538087
95,1,1087.388342102592,478,0.6242658676435396
96,1,1143.3952601810133,426,0.6211445383053219
97,1,1074.6004344759738,494,0.6180388156137953
98,1,1091.7087340069043,477,0.6149486215357263
99,1,917.8825977813232,641,0.6118738784280476
100,1,1063.105645209725,506,0.6088145090359074
101,1,1162.9291391076952,407,0.6057704364907278
102,1,1041.4076448886813,526,0.6027415843082742
103,1,970.1155962207259,592,0.5997278763867329
104,1,1144.1053380816759,425,0.5967292370047992
105,1,1171.9704988194412,398,0.5937455908197752
106,1,1134.7868738694283,434,0.5907768628656763
107,1,1137.0085557857185,432,0.5878229785513479
108,1,1113.64635034684,456,0.5848838636585911
109,1,1122.614479555404,447,0.5819594443402982
110,1,1069.870587647852,496,0.5790496471185967
111,1,1164.5001822218444,405,0.5761543988830038
112,1,1162.306175596994,405,0.5732736268885887
113,1,1135.100055738829,435,0.5704072587541458
114,1,1129.9655073931922,439,0.567555222460375
115,1,1194.0236573315435,376,0.5647174463480732
116,1,1135.1052204838695,435,0.5618938591163328
117,1,1143.4012819215675,425,0.5590843898207511
118,1,1140.5531311466784,428,0.5562889678716474
119,1,1206.856834600465,361,0.5535075230322891
120,1,1158.2916453736975,410,0.5507399854171277
121,1,1158.9244910356456,410,0.547986285490042
122,1,1166.1069441095788,404,0.5452463540625918
123,1,1170.8849561299644,399,0.5425201222922789
124,1,1183.0914681621562,387,0.5398075216808175
125,1,1116.998159411772,452,0.5371084840724134
126,1,1165.4002900911387,404,0.5344229416520513
127,1,1176.8053526544547,392,0.531750826943791
128,1,1179.7000557388292,390,0.5290920728090721
129,1,1174.8914681621561,395,0.5264466124450268
130,1,1177.0619522679544,393,0.5238143793828016
131,1,1204.774250489169,365,0.5211953074858876
132,1,1213.3574913176785,356,0.5185893309484582
133,1,1199.9455255305866,370,0.5159963842937159
134,1,1171.970498819441,398,0.5134164023722473
135,1,1185.0797770478746,383,0.510849320360386
136,1,1165.8516539673783,401,0.5082950737585841
137,1,1142.8684731442838,427,0.5057535983897912
