episode,level,reward,steps,loss,epsilon
1,2,-28.5,98,0.0,1.0
2,2,-41.0,99,0.845194935798645,0.995
3,2,771.0,462,0.7810690999031067,0.990025
4,2,-38.0,100,0.7916091680526733,0.985074875
5,2,-45.5,99,0.8141454458236694,0.9801495006250001
6,2,-32.5,100,0.06241857260465622,0.9752487531218751
7,2,-36.5,99,1.613265037536621,0.9703725093562657
8,2,-39.0,99,2.3465938568115234,0.9655206468094844
9,2,250.5,326,0.022296730428934097,0.960693043575437
10,2,-25.5,110,0.7556190490722656,0.9558895783575597
11,2,28.5,64,0.04675716534256935,0.9511101304657719
